"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";44079107,9491894;43378024,1872749;42234812,8023986;38612509,2012394
"2";"plant_based";"waste";842518,857657934;701083,761914484;1143211,38487624;3622303,60115922
"3";"animal_based";"cont";12676318,9350124;12558391,6094904;12440081,6149594;11652595,8223799
"4";"animal_based";"waste";62807,2281333742;117927,325522037;118309,994531008;787485,792579483
