"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";65724323,2586097;60406082,3710904;53957400,3065614;38555820,4585516
"2";"plant_based";"waste";4671461,28900349;5318240,88751927;6448682,06452901;15401579,8480098
"3";"animal_based";"cont";51561684,2611102;50716380,8734193;50220547,4055003;48588356,4275168
"4";"animal_based";"waste";419661,801507855;845303,387690888;495833,467919038;1632190,97798351
