"";"product";"dietgroup";"SQ_g";"SQ_kcal";"SQ_prot";"SQ_fat";"DGErec_g";"DGErec_kcal";"DGErec_prot";"DGErec_fat";"kcal_data";"prot_data";"fat_data"
"36";"Grapefruit and products";"Fruits";2,3076053143769;0,369216850300305;0,00692281594313071;0,0023076053143769;4,57356709841464;0,731770735746343;0,0137207012952439;0,00457356709841464;"0.16";"0.003";"0.001"
"37";"Citrus. Other";"Fruits";3,77612199034994;0,981791717490985;0,0188806099517497;0,00755224398069988;7,48409928988564;1,94586581537027;0,0374204964494282;0,0149681985797713;"0.26";"0.005";"0.002"
"38";"Bananas";"Fruits";20,735935206111;12,4415611236666;0,145151546442777;0,062207805618333;41,0976653688003;24,6585992212802;0,287683657581602;0,123292996106401;"0.6";"0.007";"0.003"
"39";"Plantains";"Fruits";0,0260631293633443;0,0195473470225082;0,000208505034906754;7,81893880900329e-05;0,0516559180182434;0,0387419385136826;0,000413247344145947;0,00015496775405473;"0.75";"0.008";"0.003"
"40";"Apples and products";"Fruits";35,6352678783092;17,1049285815884;0,0356352678783092;0,106905803634928;70,6274542253924;33,9011780281884;0,0706274542253924;0,211882362676177;"0.48";"0.001";"0.003"
"41";"Pineapples and products";"Fruits";5,88075492496426;1,52899628049071;0,0117615098499285;0,0117615098499285;11,6553845109855;3,03039997285624;0,0233107690219711;0,0233107690219711;"0.26";"0.002";"0.002"
"42";"Dates";"Fruits";0,170092049533043;0,265343597271548;0,00255138074299565;0,000680368198132174;0,337114582203281;0,525898748237119;0,00505671873304922;0,00134845832881312;"1.56";"0.015";"0.004"
"43";"Grapes and products (excl wine)";"Fruits";16,2704474320418;8,62333713898217;0,0813522371602092;0,0650817897281673;32,2472749512473;17,0910557241611;0,161236374756237;0,128989099804989;"0.53";"0.005";"0.004"
"44";"Fruits. Other";"Fruits";47,1319048809912;21,2093571964461;0,235659524404956;0,235659524404956;93,4132575039226;42,0359658767652;0,467066287519613;0,467066287519613;"0.45";"0.005";"0.005"
"48";"Hops";"vegetables incl. legumes";0;0;0;0;0;0;0;0;"0";"0";"0"
"49";"Pepper";"vegetables incl. legumes";0,479344475108144;1,32299075129848;0,0512898588365715;0,0129423008279199;1,15746238236207;3,19459617531932;0,123848474912742;0,0312514843237759;"2.76";"0.107";"0.027"
"50";"Pimento";"vegetables incl. legumes";0,436527230892401;1,38815659423784;0,0523832677070882;0,0755192109443854;1,05407254046403;3,3519506786756;0,126488704855683;0,182354549500276;"3.18";"0.12";"0.173"
"51";"Cloves";"vegetables incl. legumes";0,0131746800706999;0,0425542166283607;0,000790480804241994;0,00264811069421068;0,0318126052836012;0,102754715066032;0,00190875631701607;0,00639433366200384;"3.23";"0.06";"0.201"
"52";"Spices. Other";"vegetables incl. legumes";0,987812994914986;3,3289297928635;0,111622868425393;0,153111014211823;2,38524994402942;8,03829231137914;0,269533243675324;0,36971374132456;"3.37";"0.113";"0.155"
"64";"Palm kernels";"vegetables incl. legumes";0;0;0;0;0;0;0;0;"5.14";"0.073";"0.434"
"65";"Sugar non-centrifugal";"Alcohol, sugar and honey";0;0;0;0;0;0;0;0;"3.51";"0.01";"0"
"66";"Molasses";"Alcohol, sugar and honey";0;0;0;0;0;0;0;0;"2.32";"0";"0"
"67";"Sugar. Refined Equiv";"Alcohol, sugar and honey";67,7243677445544;262,093303171426;0;0;34,3298986316983;132,856707704672;0;0;"3.87";"0";"0"
"68";"Sweeteners. Other";"Alcohol, sugar and honey";24,4145265849195;75,6850324132506;0;0;12,3758737174565;38,3652085241152;0;0;"3.1";"0";"0"
"69";"Soyabean Oil";"Vegetable oils";13,1855539928192;116,560297296522;0;13,1855539928192;10,2163053759519;90,3121395234145;0;10,2163053759519;"8.84";"0";"1"
"70";"Groundnut Oil";"Vegetable oils";0,120842811783784;1,06825045616865;0;0,120842811783784;0,0936302766151617;0,827691645278029;0;0,0936302766151617;"8.84";"0";"1"
"71";"Sunflowerseed Oil";"Vegetable oils";8,12810325924477;71,8524328117238;0;8,12810325924477;6,29773956171557;55,6720177255656;0;6,29773956171557;"8.84";"0";"1"
"72";"Rape and Mustard Oil";"Vegetable oils";13,9604155689924;123,410073629893;0;13,9604155689924;10,8166762432349;95,6194179901969;0;10,8166762432349;"8.84";"0";"1"
"73";"Cottonseed Oil";"Vegetable oils";0;0;0;0;0;0;0;0;"8.84";"0";"1"
"74";"Palmkernel Oil";"Vegetable oils";0;0;0;0;0;0;0;0;"8.84";"0";"1"
"75";"Palm Oil";"Vegetable oils";7,23195267788154;63,9304616724728;0;7,23195267788154;5,60339270249149;49,5339914900248;0;5,60339270249149;"8.84";"0";"1"
"76";"Coconut Oil";"Vegetable oils";0,119838811992383;1,05937509801267;0;0,119838811992383;0,0928523670580865;0,820814924793485;0;0,0928523670580865;"8.84";"0";"1"
"77";"Sesameseed Oil";"Vegetable oils";0,392388023721224;3,46871012969562;0;0,392388023721224;0,304026351747179;2,68759294944506;0;0,304026351747179;"8.84";"0";"1"
"78";"Olive Oil";"Vegetable oils";1,88657963557426;16,6773639784764;0;1,88657963557426;1,46174166694665;12,9217963358084;0;1,46174166694665;"8.84";"0";"1"
"79";"Ricebran Oil";"Vegetable oils";9,20133191651243e-05;0,000813397741419699;0;9,20133191651243e-05;7,12928836936069e-05;0,000630229091851485;0;7,12928836936069e-05;"8.84";"0";"1"
"80";"Maize Germ Oil";"Vegetable oils";0,379866154720557;3,35801680772972;0;0,379866154720557;0,294324276456436;2,6018266038749;0;0,294324276456436;"8.84";"0";"1"
"81";"Oilcrops Oil. Other";"Vegetable oils";3,94072722106062;34,8360286341759;0;3,94072722106062;3,05331673705987;26,9913199556092;0;3,05331673705987;"8.84";"0";"1"
