"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";5069916,9639919;4999568,06515965;4913441,69536366;4574529,1934149
"2";"plant_based";"waste";88286,6977954006;70348,8988322518;86126,3697959843;338912,50194876
"3";"animal_based";"cont";13546136,1108537;13462802,2603535;13401441,270558;12971740,4798929
"4";"animal_based";"waste";88380,2049328953;83333,8505001959;61360,9897955092;429700,790665049
