"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";45534852,0387434;44771088,5831637;43449978,3059951;39457101,4009126
"2";"plant_based";"waste";1011496,98320724;763763,455579751;1321110,27716858;3992876,90508253
"3";"animal_based";"cont";41050690,9683724;40978757,2146464;40899539,2170855;40353459,4237603
"4";"animal_based";"waste";112741,844758272;71933,753726063;79217,9975608528;546079,79332524
