"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";46423759,0408786;45688211,0349486;44477810,8859374;40643700,8129139
"2";"plant_based";"waste";893141,922369446;735548,005930043;1210400,1490112;3834110,07302341
"3";"animal_based";"cont";10354906,3520058;10279940,1488503;10229382,2933998;9585328,21362679
"4";"animal_based";"waste";33891,308843396;74966,2031554997;50557,8554505344;644054,079772995
