"";"Scenario";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"SQ";"plant_based";"cont";5297363076,07839;5147881866,7988;5005839638,76977;4887422202,60681;4621808566,04425
"2";"SQ";"plant_based";"waste";314092156,405504;149481209,279583;142042228,029031;118417436,162966;265613636,562553
"3";"SQ";"animal_based";"cont";5297363076,07839;5147881866,7988;5005839638,76977;4887422202,60681;4621808566,04425
"4";"SQ";"animal_based";"waste";314092156,405504;149481209,279583;142042228,029031;118417436,162966;265613636,562553
