;product;Item_code;dietgroup;SQ_g;SQ_kcal;SQ_prot;SQ_fat;DGErec_g;DGErec_kcal;DGErec_prot;DGErec_fat;kcal_data;prot_data;fat_data
44;Fruits. Other;2625;Fruits;58,0122809;26,10552641;0,290061405;0,290061405;92,80471946;41,76212376;0,464023597;0,464023597;0,45;0,005;0,005
48;Hops;677;vegetables incl. legumes;0;0;0;0;0;0;0;0;0;0;0
49;Pepper;2640;vegetables incl. legumes;0,533323379;1,471972525;0,057065602;0,014399731;1,149922126;3,173785068;0,123041667;0,031047897;2,76;0,107;0,027
50;Pimento;2641;vegetables incl. legumes;0,466617365;1,48384322;0,055994084;0,080724804;1,047205814;3,33011449;0,125664698;0,181166606;3,18;0,12;0,173
51;Cloves;2642;vegetables incl. legumes;0,014155399;0,04572194;0,000849324;0,002845235;0,031605363;0,102085322;0,001896322;0,006352678;3,23;0,06;0,201
52;Spices. Other;2645;vegetables incl. legumes;1,066527497;3,594197664;0,120517607;0,165311762;2,3697113;7,985927082;0,267777377;0,367305252;3,37;0,113;0,155
64;Palm kernels;2562;vegetables incl. legumes;0;0;0;0;0;0;0;0;5,14;0,073;0,434
65;Sugar non-centrifugal;2541;Alcohol, sugar and honey;0;0;0;0;0;0;0;0;3,51;0,01;0
66;Molasses;2544;Alcohol, sugar and honey;0;0;0;0;0;0;0;0;2,32;0;0
67;Sugar. Refined Equiv;2818;Alcohol, sugar and honey;81,11910313;313,9309291;0;0;34,10625747;131,9912164;0;0;3,87;0;0
68;Sweeteners. Other;2543;Alcohol, sugar and honey;29,00485801;89,91505985;0;0;12,29525144;38,11527945;0;0;3,1;0;0
69;Soyabean Oil;2571;Vegetable oils;13,43646313;118,7783341;0;13,43646313;10,14975154;89,72380362;0;10,14975154;8,84;0;1
70;Groundnut Oil;2572;Vegetable oils;0,127267743;1,125046852;0;0,127267743;0,093020325;0,822299671;0;0,093020325;8,84;0;1
71;Sunflowerseed Oil;2573;Vegetable oils;8,44748761;74,67579047;0;8,44748761;6,256713114;55,30934393;0;6,256713114;8,84;0;1
72;Rape and Mustard Oil;2574;Vegetable oils;14,17721589;125,3265884;0;14,17721589;10,74621131;94,99650797;0;10,74621131;8,84;0;1
73;Cottonseed Oil;2575;Vegetable oils;0;0;0;0;0;0;0;0;8,84;0;1
