"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";66998037,1048809;61917461,1759129;55796773,0264575;40643700,8129139
"2";"plant_based";"waste";4292929,64756153;5080575,92896796;6120688,14945539;15153072,2135436
"3";"animal_based";"cont";12374515,4836247;12095955,0267074;11841131,2727814;9585328,21362679
"4";"animal_based";"waste";149584,367632227;278560,456917291;254823,753925953;2255803,05915466
