;product;Item_code;dietgroup;SQ_g;SQ_kcal;SQ_prot;SQ_fat;DGErec_g;DGErec_kcal;DGErec_prot;DGErec_fat;kcal_data;prot_data;fat_data
44;Fruits. Other;2625;Fruits;37,03042604;16,66369172;0,18515213;0,18515213;92,80471946;41,76212376;0,464023597;0,464023597;0,45;0,005;0,005
48;Hops;677;vegetables incl. legumes;0;0;0;0;0;0;0;0;0;0;0
49;Pepper;2640;vegetables incl. legumes;0,428933594;1,183856719;0,045895895;0,011581207;1,149922126;3,173785068;0,123041667;0,031047897;2,76;0,107;0,027
50;Pimento;2641;vegetables incl. legumes;0,407796613;1,29679323;0,048935594;0,070548814;1,047205814;3,33011449;0,125664698;0,181166606;3,18;0,12;0,173
51;Cloves;2642;vegetables incl. legumes;0,012242261;0,039542503;0,000734536;0,002460694;0,031605363;0,102085322;0,001896322;0,006352678;3,23;0,06;0,201
52;Spices. Other;2645;vegetables incl. legumes;0,913260914;3,077689279;0,103198483;0,141555442;2,3697113;7,985927082;0,267777377;0,367305252;3,37;0,113;0,155
64;Palm kernels;2562;vegetables incl. legumes;0;0;0;0;0;0;0;0;5,14;0,073;0,434
65;Sugar non-centrifugal;2541;Alcohol, sugar and honey;0;0;0;0;0;0;0;0;3,51;0,01;0
66;Molasses;2544;Alcohol, sugar and honey;0;0;0;0;0;0;0;0;2,32;0;0
67;Sugar. Refined Equiv;2818;Alcohol, sugar and honey;61,07161681;236,3471571;0;0;34,10625747;131,9912164;0;0;3,87;0;0
68;Sweeteners. Other;2543;Alcohol, sugar and honey;20,92333631;64,86234255;0;0;12,29525144;38,11527945;0;0;3,1;0;0
69;Soyabean Oil;2571;Vegetable oils;11,16624018;98,70956318;0;11,16624018;10,14975154;89,72380362;0;10,14975154;8,84;0;1
70;Groundnut Oil;2572;Vegetable oils;0,114608474;1,013138912;0;0,114608474;0,093020325;0,822299671;0;0,093020325;8,84;0;1
71;Sunflowerseed Oil;2573;Vegetable oils;7,374595737;65,19142632;0;7,374595737;6,256713114;55,30934393;0;6,256713114;8,84;0;1
72;Rape and Mustard Oil;2574;Vegetable oils;11,68473935;103,2930959;0;11,68473935;10,74621131;94,99650797;0;10,74621131;8,84;0;1
73;Cottonseed Oil;2575;Vegetable oils;0;0;0;0;0;0;0;0;8,84;0;1
74;Palmkernel Oil;2576;Vegetable oils;0;0;0;0;0;0;0;0;8,84;0;1
75;Palm Oil;2577;Vegetable oils;6,833427861;60,40750229;0;6,833427861;5,566889558;49,21130369;0;5,566889558;8,84;0;1
76;Coconut Oil;2578;Vegetable oils;0,11346636;1,003042625;0;0,11346636;0,092247483;0,815467749;0;0,092247483;8,84;0;1
77;Sesameseed Oil;2579;Vegetable oils;0,335734359;2,967891738;0;0,335734359;0,302045781;2,670084701;0;0,302045781;8,84;0;1
78;Olive Oil;2580;Vegetable oils;1,789335176;15,81772295;0;1,789335176;1,452219192;12,83761766;0;1,452219192;8,84;0;1
79;Ricebran Oil;2581;Vegetable oils;8,73E-05;0,000771547;0;8,73E-05;7,08E-05;0,000626123;0;7,08E-05;8,84;0;1
80;Maize Germ Oil;2582;Vegetable oils;0,331195556;2,927768718;0;0,331195556;0,292406909;2,584877077;0;0,292406909;8,84;0;1
81;Oilcrops Oil. Other;2586;Vegetable oils;3,537097768;31,26794427;0;3,537097768;3,033425991;26,81548576;0;3,033425991;8,84;0;1
91;Wine;2655;Alcohol, sugar and honey;55,06454099;37,44388787;0;0;29,2513926;19,89094697;0;0;0,68;0;0
92;Beer;2656;Alcohol, sugar and honey;226,1449954;135,6869972;4,296754912;0,678434986;120,06144;72,03686399;2,28116736;0,36018432;0,6;0,019;0,003
93;Beverages. Fermented;2657;Alcohol, sugar and honey;0,850325183;0,399652836;0,000850325;0;0,4514734;0,212192498;0,000451473;0;0,47;0,001;0
94;Beverages. Alcoholic;2658;Alcohol, sugar and honey;25,5289436;75,31038363;0;0;13,55535288;39,988291;0;0;2,95;0;0
111;Milk - Excluding Butter;2848;Milk;560,9498094;269,2559085;18,51134371;8,414247141;335,2606961;160,9251341;11,06360297;5,028910441;0,48;0,033;0,015
112;Butter. Ghee;2740;Milk;11,06746095;79,35369503;0,099607149;8,975710833;6,604322229;47,35299038;0,0594389;5,356105328;7,17;0,009;0,811
