"";"Kcal";"Prot";"Fats"
"cereals_potatoes";1434,19643114715;48,1396795058225;9,91664431373238
"excluded";0;0;0
"veg_legumes";310,05563201154;14,0852659446633;18,3928353600911
"fruits";144,202537699589;1,50253435314008;1,04273261731898
"alcohol_sugar";184,575497839801;1,37767769648931;0,217112011661467
"veg_oils";337,343399662546;0;38,161018061374
"milk";209,243249844306;11,1745841514239;10,4331381629581
"meat_fish_eggs";327,231298112211;14,6580453222719;29,2936559199634
"Sum";2946,84804631715;90,9377869738109;107,457136447099
