"";"Scenario";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"DGErec";"plant_based";"cont";43865646,9533187;41340528,8716595;39222141,6948839;36573239,132418;29661861,750805
"2";"DGErec";"plant_based";"waste";6056883,02022001;2525118,08165914;2118387,1767756;2648902,56246588;6911377,38161305
"3";"DGErec";"animal_based";"cont";63999166,6036333;63472898,1759323;63161120,3975342;62912516,0967656;60697474,2231788
"4";"DGErec";"animal_based";"waste";574971,54682218;526268,427700956;311777,778398128;248604,300768584;2215041,8735868
