"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";1909812507,35153;1738152514,8651;1592593895,97479;1317895530,82867
"2";"plant_based";"waste";158840974,530084;171659992,486428;145558618,890314;274698365,146121
"3";"animal_based";"cont";3171347214,8399;3115692100,07519;3099044635,45165;3005410761,75834
"4";"animal_based";"waste";57362379,356875;55655114,7647089;16647464,6235435;93633873,693302
