"";"Scenario";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"SQ";"plant_based";"cont";18792719,9775739;18374783,021284;18018554,6850337;17758250,4256897;16269778,7121589
"2";"SQ";"plant_based";"waste";738530,999714498;417936,956289904;356228,336250257;260304,259344068;1488471,71353078
"3";"SQ";"animal_based";"cont";18792719,9775739;18374783,021284;18018554,6850337;17758250,4256897;16269778,7121589
"4";"SQ";"animal_based";"waste";738530,999714498;417936,956289904;356228,336250257;260304,259344068;1488471,71353078
