"";"Scenario";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"SQ";"plant_based";"cont";66416770,8617658;63036319,48599;60219857,0371804;56270417,1646506;45932432,3438604
"2";"SQ";"plant_based";"waste";8544741,60439887;3380451,37577576;2816462,44880957;3949439,87252983;10337984,8207902
"3";"SQ";"animal_based";"cont";16012095,6995552;15917557,1485469;15583224,5402886;15319805,9159256;14091287,3716618
"4";"SQ";"animal_based";"waste";566729,453607952;94538,5510082855;334332,608258297;263418,624363008;1228518,54426377
