"";"X";"country";"product";"item_code";"com_group";"product_group";"diet_group";"DGE_group"
"431";431;"DZA";"Pineapples and products";2618;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"432";432;"DZA";"Dates";2619;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"433";433;"DZA";"Grapes and products (excl wine)";2620;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"434";434;"DZA";"Fruits, Other";2625;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"435";435;"DZA";"Coffee and products";2630;"Coffee, tea, cocoa";"Primary crops";"Coffee, tea, cocoa";"excluded"
"436";436;"DZA";"Cocoa Beans and products";2633;"Coffee, tea, cocoa";"Primary crops";"Coffee, tea, cocoa";"excluded"
"437";437;"DZA";"Tea (including mate)";2635;"Coffee, tea, cocoa";"Primary crops";"Coffee, tea, cocoa";"excluded"
"438";438;"DZA";"Hops";677;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"439";439;"DZA";"Pepper";2640;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"440";440;"DZA";"Pimento";2641;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"441";441;"DZA";"Cloves";2642;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"442";442;"DZA";"Spices, Other";2645;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"443";443;"DZA";"Jute";2662;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"444";444;"DZA";"Jute-Like Fibres";2663;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"445";445;"DZA";"Soft-Fibres, Other";2664;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"446";446;"DZA";"Sisal";2665;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"447";447;"DZA";"Abaca";2666;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"448";448;"DZA";"Hard Fibres, Other";2667;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"449";449;"DZA";"Tobacco";2671;"Tobacco, rubber";"Primary crops";"Tobacco, rubber";"excluded"
"450";450;"DZA";"Rubber";2672;"Tobacco, rubber";"Primary crops";"Tobacco, rubber";"excluded"
"451";451;"DZA";"Fodder crops";2000;"Fodder crops, grazing";"Primary crops";"Fodder crops, grazing";"excluded"
"452";452;"DZA";"Grazing";2001;"Fodder crops, grazing";"Primary crops";"Fodder crops, grazing";"excluded"
"453";453;"DZA";"Cottonseed";2559;"Fibre crops";"Crop products";"Fibre crops";"excluded"
"454";454;"DZA";"Palm kernels";2562;"Oil crops";"Crop products";"Oil crops and nuts";"vegetables incl. legumes"
"455";455;"DZA";"Sugar non-centrifugal";2541;"Sugar, sweeteners";"Crop products";"Sugar, sweeteners";"Alcohol, sugar and honey"
"456";456;"DZA";"Molasses";2544;"Sugar, sweeteners";"Crop products";"Sugar, sweeteners";"Alcohol, sugar and honey"
"457";457;"DZA";"Sugar, Refined Equiv";2818;"Sugar, sweeteners";"Crop products";"Sugar, sweeteners";"Alcohol, sugar and honey"
"458";458;"DZA";"Sweeteners, Other";2543;"Sugar, sweeteners";"Crop products";"Sugar, sweeteners";"Alcohol, sugar and honey"
"459";459;"DZA";"Soyabean Oil";2571;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"460";460;"DZA";"Groundnut Oil";2572;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"461";461;"DZA";"Sunflowerseed Oil";2573;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"462";462;"DZA";"Rape and Mustard Oil";2574;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"463";463;"DZA";"Cottonseed Oil";2575;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"464";464;"DZA";"Palmkernel Oil";2576;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"465";465;"DZA";"Palm Oil";2577;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"466";466;"DZA";"Coconut Oil";2578;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"467";467;"DZA";"Sesameseed Oil";2579;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"468";468;"DZA";"Olive Oil";2580;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"469";469;"DZA";"Ricebran Oil";2581;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"470";470;"DZA";"Maize Germ Oil";2582;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"471";471;"DZA";"Oilcrops Oil, Other";2586;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"472";472;"DZA";"Soyabean Cake";2590;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"473";473;"DZA";"Groundnut Cake";2591;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"474";474;"DZA";"Sunflowerseed Cake";2592;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"475";475;"DZA";"Rape and Mustard Cake";2593;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"476";476;"DZA";"Cottonseed Cake";2594;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"477";477;"DZA";"Palmkernel Cake";2595;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"478";478;"DZA";"Copra Cake";2596;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"479";479;"DZA";"Sesameseed Cake";2597;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"480";480;"DZA";"Oilseed Cakes, Other";2598;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"481";481;"DZA";"Wine";2655;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"482";482;"DZA";"Beer";2656;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"483";483;"DZA";"Beverages, Fermented";2657;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"484";484;"DZA";"Beverages, Alcoholic";2658;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"485";485;"DZA";"Alcohol, Non-Food";2659;"Ethanol";"Crop products";"Ethanol";"excluded"
"486";486;"DZA";"Cotton lint";2661;"Fibre crops";"Crop products";"Fibre crops";"excluded"
"487";487;"DZA";"Cattle";866;"Live animals";"Livestock";"Live animals";"excluded"
"488";488;"DZA";"Buffaloes";946;"Live animals";"Livestock";"Live animals";"excluded"
"489";489;"DZA";"Sheep";976;"Live animals";"Livestock";"Live animals";"excluded"
"490";490;"DZA";"Goats";1016;"Live animals";"Livestock";"Live animals";"excluded"
"491";491;"DZA";"Pigs";1034;"Live animals";"Livestock";"Live animals";"excluded"
"492";492;"DZA";"Poultry Birds";2029;"Live animals";"Livestock";"Live animals";"excluded"
"493";493;"DZA";"Horses";1096;"Live animals";"Livestock";"Live animals";"excluded"
"494";494;"DZA";"Asses";1107;"Live animals";"Livestock";"Live animals";"excluded"
"495";495;"DZA";"Mules";1110;"Live animals";"Livestock";"Live animals";"excluded"
"496";496;"DZA";"Camels";1126;"Live animals";"Livestock";"Live animals";"excluded"
"497";497;"DZA";"Camelids, other";1157;"Live animals";"Livestock";"Live animals";"excluded"
"498";498;"DZA";"Rabbits and hares";1140;"Live animals";"Livestock";"Live animals";"excluded"
"499";499;"DZA";"Rodents, other";1150;"Live animals";"Livestock";"Live animals";"excluded"
"500";500;"DZA";"Live animals, other";1171;"Live animals";"Livestock";"Live animals";"excluded"
"501";501;"DZA";"Milk - Excluding Butter";2848;"Milk";"Livestock products";"Milk";"Milk"
"502";502;"DZA";"Butter, Ghee";2740;"Milk";"Livestock products";"Milk";"Milk"
"503";503;"DZA";"Eggs";2744;"Eggs";"Livestock products";"Eggs";"Meat, sausages, fish, eggs"
"504";504;"DZA";"Wool (Clean Eq.)";2746;"Hides, skins, wool";"Livestock products";"Hides, skins, wool";"excluded"
"505";505;"DZA";"Bovine Meat";2731;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"506";506;"DZA";"Mutton & Goat Meat";2732;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"507";507;"DZA";"Pigmeat";2733;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"508";508;"DZA";"Poultry Meat";2734;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"509";509;"DZA";"Meat, Other";2735;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"510";510;"DZA";"Offals, Edible";2736;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"511";511;"DZA";"Fats, Animals, Raw";2737;"Animal fats";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"512";512;"DZA";"Hides and skins";2748;"Hides, skins, wool";"Livestock products";"Hides, skins, wool";"excluded"
"513";513;"DZA";"Meat Meal";2749;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"514";514;"DZA";"Pet food";843;"Meat";"Livestock products";"Meat";"excluded"
"515";515;"DZA";"Honey";2745;"Honey";"Livestock products";"Honey";"Alcohol, sugar and honey"
"516";516;"DZA";"Silk";2747;"Hides, skins, wool";"Livestock products";"Hides, skins, wool";"excluded"
"517";517;"DZA";"Fish, Seafood";2960;"Fish";"Fish";"Fish";"Meat, sausages, fish, eggs"
"518";518;"DZA";"Wood fuel";1864;"Wood";"Wood";"Wood";"excluded"
"519";519;"DZA";"Industrial roundwood, coniferous";1866;"Wood";"Wood";"Wood";"excluded"
"520";520;"DZA";"Industrial roundwood, non-coniferous";1867;"Wood";"Wood";"Wood";"excluded"
"521";521;"AGO";"Rice (Milled Equivalent)";2805;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"522";522;"AGO";"Wheat and products";2511;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"523";523;"AGO";"Barley and products";2513;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"524";524;"AGO";"Maize and products";2514;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"525";525;"AGO";"Rye and products";2515;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"526";526;"AGO";"Oats";2516;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"527";527;"AGO";"Millet and products";2517;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"528";528;"AGO";"Sorghum and products";2518;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"529";529;"AGO";"Cereals, Other";2520;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"530";530;"AGO";"Potatoes and products";2531;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"531";531;"AGO";"Cassava and products";2532;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"532";532;"AGO";"Sweet potatoes";2533;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"533";533;"AGO";"Roots, Other";2534;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"534";534;"AGO";"Yams";2535;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"535";535;"AGO";"Sugar cane";2536;"Sugar crops";"Primary crops";"Sugar crops";"excluded"
"536";536;"AGO";"Sugar beet";2537;"Sugar crops";"Primary crops";"Sugar crops";"excluded"
"537";537;"AGO";"Beans";2546;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"538";538;"AGO";"Peas";2547;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"539";539;"AGO";"Pulses, Other and products";2549;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"540";540;"AGO";"Nuts and products";2551;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"541";541;"AGO";"Soyabeans";2555;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"542";542;"AGO";"Groundnuts (Shelled Eq)";2556;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"543";543;"AGO";"Sunflower seed";2557;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"544";544;"AGO";"Rape and Mustardseed";2558;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"545";545;"AGO";"Seed cotton";328;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"546";546;"AGO";"Coconuts - Incl Copra";2560;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"547";547;"AGO";"Sesame seed";2561;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"548";548;"AGO";"Oil, palm fruit";254;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"549";549;"AGO";"Olives (including preserved)";2563;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"550";550;"AGO";"Oilcrops, Other";2570;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"551";551;"AGO";"Tomatoes and products";2601;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"552";552;"AGO";"Onions";2602;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"553";553;"AGO";"Vegetables, Other";2605;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"554";554;"AGO";"Oranges, Mandarines";2611;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"555";555;"AGO";"Lemons, Limes and products";2612;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"556";556;"AGO";"Grapefruit and products";2613;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"557";557;"AGO";"Citrus, Other";2614;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"558";558;"AGO";"Bananas";2615;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"559";559;"AGO";"Plantains";2616;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"560";560;"AGO";"Apples and products";2617;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"561";561;"AGO";"Pineapples and products";2618;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"562";562;"AGO";"Dates";2619;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"563";563;"AGO";"Grapes and products (excl wine)";2620;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"564";564;"AGO";"Fruits, Other";2625;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"565";565;"AGO";"Coffee and products";2630;"Coffee, tea, cocoa";"Primary crops";"Coffee, tea, cocoa";"excluded"
"566";566;"AGO";"Cocoa Beans and products";2633;"Coffee, tea, cocoa";"Primary crops";"Coffee, tea, cocoa";"excluded"
"567";567;"AGO";"Tea (including mate)";2635;"Coffee, tea, cocoa";"Primary crops";"Coffee, tea, cocoa";"excluded"
"568";568;"AGO";"Hops";677;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"569";569;"AGO";"Pepper";2640;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"570";570;"AGO";"Pimento";2641;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"571";571;"AGO";"Cloves";2642;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"572";572;"AGO";"Spices, Other";2645;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"573";573;"AGO";"Jute";2662;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"574";574;"AGO";"Jute-Like Fibres";2663;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"575";575;"AGO";"Soft-Fibres, Other";2664;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"576";576;"AGO";"Sisal";2665;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"577";577;"AGO";"Abaca";2666;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"578";578;"AGO";"Hard Fibres, Other";2667;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"579";579;"AGO";"Tobacco";2671;"Tobacco, rubber";"Primary crops";"Tobacco, rubber";"excluded"
"580";580;"AGO";"Rubber";2672;"Tobacco, rubber";"Primary crops";"Tobacco, rubber";"excluded"
"581";581;"AGO";"Fodder crops";2000;"Fodder crops, grazing";"Primary crops";"Fodder crops, grazing";"excluded"
"582";582;"AGO";"Grazing";2001;"Fodder crops, grazing";"Primary crops";"Fodder crops, grazing";"excluded"
"583";583;"AGO";"Cottonseed";2559;"Fibre crops";"Crop products";"Fibre crops";"excluded"
"584";584;"AGO";"Palm kernels";2562;"Oil crops";"Crop products";"Oil crops and nuts";"vegetables incl. legumes"
"585";585;"AGO";"Sugar non-centrifugal";2541;"Sugar, sweeteners";"Crop products";"Sugar, sweeteners";"Alcohol, sugar and honey"
"586";586;"AGO";"Molasses";2544;"Sugar, sweeteners";"Crop products";"Sugar, sweeteners";"Alcohol, sugar and honey"
"587";587;"AGO";"Sugar, Refined Equiv";2818;"Sugar, sweeteners";"Crop products";"Sugar, sweeteners";"Alcohol, sugar and honey"
"588";588;"AGO";"Sweeteners, Other";2543;"Sugar, sweeteners";"Crop products";"Sugar, sweeteners";"Alcohol, sugar and honey"
"589";589;"AGO";"Soyabean Oil";2571;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"590";590;"AGO";"Groundnut Oil";2572;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"591";591;"AGO";"Sunflowerseed Oil";2573;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"592";592;"AGO";"Rape and Mustard Oil";2574;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"593";593;"AGO";"Cottonseed Oil";2575;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"594";594;"AGO";"Palmkernel Oil";2576;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"595";595;"AGO";"Palm Oil";2577;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"596";596;"AGO";"Coconut Oil";2578;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"597";597;"AGO";"Sesameseed Oil";2579;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"598";598;"AGO";"Olive Oil";2580;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"599";599;"AGO";"Ricebran Oil";2581;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"600";600;"AGO";"Maize Germ Oil";2582;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"601";601;"AGO";"Oilcrops Oil, Other";2586;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"602";602;"AGO";"Soyabean Cake";2590;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"603";603;"AGO";"Groundnut Cake";2591;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"604";604;"AGO";"Sunflowerseed Cake";2592;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"605";605;"AGO";"Rape and Mustard Cake";2593;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"606";606;"AGO";"Cottonseed Cake";2594;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"607";607;"AGO";"Palmkernel Cake";2595;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"608";608;"AGO";"Copra Cake";2596;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"609";609;"AGO";"Sesameseed Cake";2597;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"610";610;"AGO";"Oilseed Cakes, Other";2598;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"611";611;"AGO";"Wine";2655;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"612";612;"AGO";"Beer";2656;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"613";613;"AGO";"Beverages, Fermented";2657;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"614";614;"AGO";"Beverages, Alcoholic";2658;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"615";615;"AGO";"Alcohol, Non-Food";2659;"Ethanol";"Crop products";"Ethanol";"excluded"
"616";616;"AGO";"Cotton lint";2661;"Fibre crops";"Crop products";"Fibre crops";"excluded"
"617";617;"AGO";"Cattle";866;"Live animals";"Livestock";"Live animals";"excluded"
"618";618;"AGO";"Buffaloes";946;"Live animals";"Livestock";"Live animals";"excluded"
"619";619;"AGO";"Sheep";976;"Live animals";"Livestock";"Live animals";"excluded"
"620";620;"AGO";"Goats";1016;"Live animals";"Livestock";"Live animals";"excluded"
"621";621;"AGO";"Pigs";1034;"Live animals";"Livestock";"Live animals";"excluded"
"622";622;"AGO";"Poultry Birds";2029;"Live animals";"Livestock";"Live animals";"excluded"
"623";623;"AGO";"Horses";1096;"Live animals";"Livestock";"Live animals";"excluded"
"624";624;"AGO";"Asses";1107;"Live animals";"Livestock";"Live animals";"excluded"
"625";625;"AGO";"Mules";1110;"Live animals";"Livestock";"Live animals";"excluded"
"626";626;"AGO";"Camels";1126;"Live animals";"Livestock";"Live animals";"excluded"
"627";627;"AGO";"Camelids, other";1157;"Live animals";"Livestock";"Live animals";"excluded"
"628";628;"AGO";"Rabbits and hares";1140;"Live animals";"Livestock";"Live animals";"excluded"
"629";629;"AGO";"Rodents, other";1150;"Live animals";"Livestock";"Live animals";"excluded"
"630";630;"AGO";"Live animals, other";1171;"Live animals";"Livestock";"Live animals";"excluded"
"631";631;"AGO";"Milk - Excluding Butter";2848;"Milk";"Livestock products";"Milk";"Milk"
"632";632;"AGO";"Butter, Ghee";2740;"Milk";"Livestock products";"Milk";"Milk"
"633";633;"AGO";"Eggs";2744;"Eggs";"Livestock products";"Eggs";"Meat, sausages, fish, eggs"
"634";634;"AGO";"Wool (Clean Eq.)";2746;"Hides, skins, wool";"Livestock products";"Hides, skins, wool";"excluded"
"635";635;"AGO";"Bovine Meat";2731;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"636";636;"AGO";"Mutton & Goat Meat";2732;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"637";637;"AGO";"Pigmeat";2733;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"638";638;"AGO";"Poultry Meat";2734;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"639";639;"AGO";"Meat, Other";2735;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"640";640;"AGO";"Offals, Edible";2736;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"641";641;"AGO";"Fats, Animals, Raw";2737;"Animal fats";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"642";642;"AGO";"Hides and skins";2748;"Hides, skins, wool";"Livestock products";"Hides, skins, wool";"excluded"
"643";643;"AGO";"Meat Meal";2749;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"644";644;"AGO";"Pet food";843;"Meat";"Livestock products";"Meat";"excluded"
"645";645;"AGO";"Honey";2745;"Honey";"Livestock products";"Honey";"Alcohol, sugar and honey"
"646";646;"AGO";"Silk";2747;"Hides, skins, wool";"Livestock products";"Hides, skins, wool";"excluded"
"647";647;"AGO";"Fish, Seafood";2960;"Fish";"Fish";"Fish";"Meat, sausages, fish, eggs"
"648";648;"AGO";"Wood fuel";1864;"Wood";"Wood";"Wood";"excluded"
"649";649;"AGO";"Industrial roundwood, coniferous";1866;"Wood";"Wood";"Wood";"excluded"
"650";650;"AGO";"Industrial roundwood, non-coniferous";1867;"Wood";"Wood";"Wood";"excluded"
"651";651;"ATG";"Rice (Milled Equivalent)";2805;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"652";652;"ATG";"Wheat and products";2511;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"653";653;"ATG";"Barley and products";2513;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"654";654;"ATG";"Maize and products";2514;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"655";655;"ATG";"Rye and products";2515;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"656";656;"ATG";"Oats";2516;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"657";657;"ATG";"Millet and products";2517;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"658";658;"ATG";"Sorghum and products";2518;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"659";659;"ATG";"Cereals, Other";2520;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"660";660;"ATG";"Potatoes and products";2531;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"661";661;"ATG";"Cassava and products";2532;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"662";662;"ATG";"Sweet potatoes";2533;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"663";663;"ATG";"Roots, Other";2534;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"664";664;"ATG";"Yams";2535;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"665";665;"ATG";"Sugar cane";2536;"Sugar crops";"Primary crops";"Sugar crops";"excluded"
"666";666;"ATG";"Sugar beet";2537;"Sugar crops";"Primary crops";"Sugar crops";"excluded"
"667";667;"ATG";"Beans";2546;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"668";668;"ATG";"Peas";2547;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"669";669;"ATG";"Pulses, Other and products";2549;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"670";670;"ATG";"Nuts and products";2551;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"671";671;"ATG";"Soyabeans";2555;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"672";672;"ATG";"Groundnuts (Shelled Eq)";2556;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"673";673;"ATG";"Sunflower seed";2557;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"674";674;"ATG";"Rape and Mustardseed";2558;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"675";675;"ATG";"Seed cotton";328;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
