"";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";73234677,360832;68804553,9914199;64593826,3458584;60347113,0048132;49356779,1206004
"2";"plant_based";"waste";10432713,4723055;4430123,36941208;4210727,64556153;4246713,34104519;10990333,8842128
"3";"animal_based";"cont";1243569,0005152;1192193,78510984;1161763,69259575;1137858,52559465;924274,863264488
"4";"animal_based";"waste";55345,4649353322;51375,2154053585;30430,0925140968;23905,1670010995;213583,662330161
