"";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";6805526,30340858;6506650,09954686;6213880,21093599;5991900,70786998;5225288,85653689
"2";"plant_based";"waste";693944,777588475;298876,203861713;292769,888610871;221979,503066007;766611,851333097
"3";"animal_based";"cont";3253104,35738856;3203407,86403593;3160045,98238299;3135575,60291631;2935452,53061352
"4";"animal_based";"waste";75212,5186426943;49696,4933526317;43361,8816529454;24470,3794666715;200123,072302796
