"";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";8441422,74710877;8012104,93811069;7627038,98280428;7340080,45154542;6356831,40488607
"2";"plant_based";"waste";884302,962303027;429317,808998083;385065,955306403;286958,531258864;983249,046659347
"3";"animal_based";"cont";255243,492911109;246700,711835382;239308,911124734;235012,82676887;198353,235546175
"4";"animal_based";"waste";13089,3759061776;8542,78107572664;7391,8007106479;4296,08435586409;36659,5912226958
