"";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";6656312,47553788;6321089,57758547;6046408,91809636;5791630,24369047;4878252,94750315
"2";"plant_based";"waste";684814,420124753;335222,89795241;274680,659489103;254778,674405895;913377,296187321
"3";"animal_based";"cont";5783613,5939824;5694840,06246404;5616665,59969704;5572643,18474559;5205217,56189335
"4";"animal_based";"waste";137946,020599345;88773,5315183558;78174,4627669976;44022,4149514501;367425,622852246
