"";"Scenario";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"DGE";"plant_based";"cont";53158243,174571;50942323,7102696;48986145,4789022;46131924,113431;38612509,2012394
"2";"DGE";"plant_based";"waste";6013298,15414566;2215919,46430141;1956178,23136742;2854221,36547122;7519414,91219158
"3";"DGE";"animal_based";"cont";13308819,1530069;13205833,4960849;12914237,9442013;12653366,4678629;11652595,8223799
"4";"DGE";"animal_based";"waste";543409,793536241;102985,656921956;291595,551883584;260871,476338448;1000770,64548302
