"";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";57120062,1080277;53376964,9547418;49235577,0060515;46143262,8033225;37901725,2886795
"2";"plant_based";"waste";8397410,7641176;3743097,15328592;4141387,9486903;3092314,20272893;8241537,51464308
"3";"animal_based";"cont";190938917,283996;189673410,661888;188914856,484328;188319501,725846;183077175,218747
"4";"animal_based";"waste";1386860,67282967;1265506,62210841;758554,17755953;595354,758482356;5242326,50709903
