"";"Scenario";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"DGE";"plant_based";"cont";67490972,210782;64264847,6429723;61380597,254794;57606892,8134327;47569823,4822525
"2";"DGE";"plant_based";"waste";8229243,046887;3226124,56780973;2884250,38817827;3773704,44136134;10037069,3311801
"3";"DGE";"animal_based";"cont";5748613,89364056;5715091,55264042;5633028,252403;5577548,54507099;5179328,11376093
"4";"DGE";"animal_based";"waste";219832,484534895;33522,3410001432;82063,300237417;55479,7073320181;398220,431310054
