"";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";5591457,19230013;5353447,28188564;5143090,53804652;4960271,23476362;4280027,15760055
"2";"plant_based";"waste";500395,113067249;238009,910414492;210356,743839111;182819,3032829;680244,07716307
"3";"animal_based";"cont";13939793,7849883;13727323,117231;13540262,2856229;13434873,825632;12554716,9809978
"4";"animal_based";"waste";329917,09672501;212470,667757291;187060,831608067;105388,45999093;880156,844634157
