"";"Scenario";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"DGE";"plant_based";"cont";46850635,8979653;45153226,2534585;43188538,5036189;41147900,9886593;34797757,4257611
"2";"DGE";"plant_based";"waste";4113005,11302347;1697409,64450675;1964687,74983965;2040637,51495958;6350143,56289814
"3";"DGE";"animal_based";"cont";32367174,304527;32174626,1829486;31477776,2583856;30920764,8979647;28420034,5092064
"4";"DGE";"animal_based";"waste";1147367,47993999;192548,121578403;696849,924562999;557011,360420958;2500730,38875824
