"";"Scenario";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"DGE";"plant_based";"cont";62884792,9707755;59842098,6441522;57180736,1288557;53588931,1599893;44032226,7662284
"2";"DGE";"plant_based";"waste";7690995,64295928;3042694,32662333;2661362,51529647;3591804,96886642;9556704,39376091
"3";"DGE";"animal_based";"cont";14431714,5808159;14346359,9668307;14040836,2287295;13802714,7651982;12697297,679039
"4";"DGE";"animal_based";"waste";512124,987396681;85354,6139852129;305523,738101154;238121,463531342;1105417,08615918
