"";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";68220779,6522031;64061378,2578629;60148650,0007557;56102126,5856286;45608991,6497625
"2";"plant_based";"waste";9788388,1332103;4159401,39434022;3912728,25710718;4046523,41512703;10493134,9358661
"3";"animal_based";"cont";78941395,9848543;78412725,3728993;78095662,0643431;77846674,8040148;75654574,7828358
"4";"animal_based";"waste";580189,065796806;528670,611955052;317063,308556164;248987,260328302;2192100,02117897
