"";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";55537095,1269136;52423511,1942724;49623442,269541;46422220,6631351;38229746,8081971
"2";"plant_based";"waste";7643544,26466662;3113583,93264116;2800068,92473142;3201221,60640596;8192473,85493798
"3";"animal_based";"cont";44921040,0228112;44627560,293444;44451018,2126675;44314645,8294925;43137930,4067339
"4";"animal_based";"waste";317667,327066424;293479,729367268;176542,080776462;136372,383175028;1176715,4227586
