"";"Scenario";"chain_type";"flow";"harvest_production";"storage_transport";"processing";"distribution";"Consumption"
"1";"DGE";"plant_based";"cont";57893355,2004915;55458074,0535108;53334831,8069318;50203136,0895402;41958994,2384141
"2";"DGE";"plant_based";"waste";6608575,74596798;2435281,14698073;2123242,24657902;3131695,71739156;8244141,85112611
"3";"DGE";"animal_based";"cont";6197627,8902619;6154478,79755902;6042603,9442428;5941989,42895636;5501526,91831077
"4";"DGE";"animal_based";"waste";267799,336329707;43149,0927028833;111874,853316216;100614,515286441;440462,510645591
