"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";54588761,8343902;52456192,4470458;49349734,3022216;40643700,8129139
"2";"plant_based";"waste";2216642,64059294;2132569,38734441;3106458,14482421;8706033,48930764
"3";"animal_based";"cont";11297477,3567893;11128281,6827788;10972698,2655113;9585328,21362679
"4";"animal_based";"waste";89228,2175825893;169195,674010519;155583,417267428;1387370,05188454
