"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";2618488131,55186;2460332045,39371;2320780195,63139;2061683529,69563
"2";"plant_based";"waste";144792757,08966;158156086,158156;139551849,762315;259096665,935761
"3";"animal_based";"cont";773351721,404687;767909213,384578;765123469,797637;749723777,296659
"4";"animal_based";"waste";9200140,36894975;5442508,02010822;2785743,58694194;15399692,5009773
