"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";4981687,3458316;4794267,88821445;4598320,83940439;3972845,56032711
"2";"plant_based";"waste";176516,315955697;187419,457617158;195947,048810052;625475,279077289
"3";"animal_based";"cont";13457838,5442963;13218047,6303635;13052235,7619725;12248486,335624
"4";"animal_based";"waste";176677,771490272;239790,913932851;165811,868391003;803749,426348443
