"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";53534661,1664714;51310353,7003503;47977799,55628;39013863,1826722
"2";"plant_based";"waste";2461541,51406452;2224307,46612116;3332554,1440703;8963936,3736078
"3";"animal_based";"cont";45898307,9483486;45618364,4901058;45370436,30744;44237824,1013188
"4";"animal_based";"waste";250526,783896246;279943,458242785;247928,182665763;1132612,2061212
