"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";5875798,49069696;5604798,69739928;5334095,59333722;4476872,34266731
"2";"plant_based";"waste";267402,907023444;270999,793297685;270703,104062061;857223,250669909
"3";"animal_based";"cont";5719209,26543779;5616458,73668557;5545223,8436239;5202275,23042147
"4";"animal_based";"waste";75146,3510147396;102750,528752215;71234,8930616727;342948,613202435
