"";"country";"continent";"product";"item_code";"com_group";"product_group";"diet_group";"DGE_group"
"48";"ARM";"ASI";"Hops";677;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"49";"ARM";"ASI";"Pepper";2640;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"50";"ARM";"ASI";"Pimento";2641;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"51";"ARM";"ASI";"Cloves";2642;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"52";"ARM";"ASI";"Spices, Other";2645;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"53";"ARM";"ASI";"Jute";2662;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"54";"ARM";"ASI";"Jute-Like Fibres";2663;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"55";"ARM";"ASI";"Soft-Fibres, Other";2664;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"56";"ARM";"ASI";"Sisal";2665;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"57";"ARM";"ASI";"Abaca";2666;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"58";"ARM";"ASI";"Hard Fibres, Other";2667;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"59";"ARM";"ASI";"Tobacco";2671;"Tobacco, rubber";"Primary crops";"Tobacco, rubber";"excluded"
"60";"ARM";"ASI";"Rubber";2672;"Tobacco, rubber";"Primary crops";"Tobacco, rubber";"excluded"
"61";"ARM";"ASI";"Fodder crops";2000;"Fodder crops, grazing";"Primary crops";"Fodder crops, grazing";"excluded"
"62";"ARM";"ASI";"Grazing";2001;"Fodder crops, grazing";"Primary crops";"Fodder crops, grazing";"excluded"
"63";"ARM";"ASI";"Cottonseed";2559;"Fibre crops";"Crop products";"Fibre crops";"excluded"
