"";"x"
"849";12,4475022944593
"850";0,107194596409378
"851";0,905437959480565
"852";0
"853";0
"854";0
"855";0,392096508177784
"856";0
"857";0
"858";3,43481382246422
"859";0
"860";0
"861";47,8915243247782
"862";0
"863";0
"864";0
"865";0
"866";0
"867";0
"868";0
"869";0
"870";0
"871";2085,52408414642
"872";1,51652931722229
"873";8,0548895041301
"874";0,416096928543481
"875";0
"876";0
"877";0
"878";0
"879";0
"880";0
"881";0
"882";0
"883";0
"884";0
"885";0
"886";0
"887";0
"888";0
"889";0
"890";0
"891";0,1923870211166
"892";54,4002727446348
"893";123,545371397742
"894";0
"895";0
"896";0
"897";0
"898";0
"899";0
"900";0
"901";0
"902";0
"903";0
"904";0
"905";2494,43450551815
"906";0
"907";1094,19847256837
"908";0
"909";0
"910";0
"911";2961,51361293732
"912";4,52526944649013
"913";215,793158102222
"914";1974,05187641545
"915";686,904920192616
"916";5,82938554598628
"917";0,743649737253257
"918";0
"919";0,0640036465358152
"920";9,45967653537714
"921";0
"922";0
"923";0
"924";0
"925";0
"926";0
"927";27,1462262619932
"928";29,4029188733398
"929";46,340351592453
"930";30223,7393854999
"931";42,2430481129422
"932";459,480962878275
"933";0
"934";2034,09056781008
"935";0
"936";0,121243296878397
"937";0
"938";0
"939";0
"940";10,6634295666501
"941";0,222403493237857
"942";5596,40559183521
"943";274,220031104863
"944";71,4049931558699
"945";28,1065176607648
"946";0
"947";0
"948";237,729857224815
"949";0
"950";783,571278451623
"951";7,036959982609
"952";0,156486698455814
"953";1322,85818607185
"954";1838,94184987365
"955";0
"956";0
"957";0
"958";0
"959";1,56429073791459
"960";0
"961";0
"962";138,327449165876
"963";0
"964";0
"965";0
"966";0
"967";0
"968";0
"969";0
"970";0
"971";0
"972";0
"973";0
"974";0
"975";0
"976";0
"977";10,7357702006346
"978";2,75283029176737
"979";4,88367460534706
"980";0,118935081076573
"981";201,44300238962
"982";209,120512993983
"983";0
"984";0
"985";0
"986";0,0570609452826247
"987";0,0144000952302429
"988";0,814283808749445
"989";0
"990";0
"991";0,540304356386778
"992";0
"993";0
"994";0
"995";0
"996";0
"997";0
"998";0
"999";0
"1000";0
"1001";15554,4014348052
"1002";1,71530884501676
"1003";0,0283072166622612
"1004";0,904708684926286
"1005";0
"1006";0
"1007";0
"1008";0
"1009";0
"1010";0
"1011";0
"1012";0
"1013";0
"1014";0
"1015";0
"1016";0
"1017";0
"1018";0
"1019";0
"1020";0
"1021";925,810772476247
"1022";0,09779429179079
"1023";0,517536909652151
"1024";0
"1025";0
"1026";0
"1027";0
"1028";0
"1029";0
"1030";0
"1031";0
"1032";0
"1033";0
"1034";0
"1035";20,6939249933646
"1036";0
"1037";12,3855837000782
"1038";0
"1039";0
"1040";0
"1041";1430,9413040654
"1042";76166,2434649664
"1043";18,9610990568937
"1044";9616,87447732883
"1045";1324,79851782671
"1046";1161,11531404783
"1047";2512,77537887067
"1048";0
