"";"x"
"539";0
"540";0
"541";0
"542";0
"543";0
"544";0
"545";0
"546";0
"547";0
"548";0
"549";0
"550";0
"551";8,6739846742252e-05
"552";0
"553";0
"554";0
"555";0
"556";0
"557";0
"558";0
"559";0
"560";0,224427396148644
"561";0
"562";0
"563";0,000667066233254531
"564";0
"565";0
"566";0
"567";0,857969995516737
"568";0
"569";0
"570";0
"571";0
"572";0
"573";0
"574";0
"575";0
"576";0
"577";0
"578";0
"579";0
"580";0
"581";0
"582";0
"583";0
"584";0
"585";0
"586";0
"587";0,00171807404952124
"588";0
"589";0
"590";0
"591";0
"592";0
"593";0
"594";0
"595";87,6750536479934
"596";0
"597";0
"598";0
"599";0
"600";0
"601";0
"602";0
"603";0
"604";0
"605";0
"606";0
"607";0
"608";0
"609";0
"610";0
"611";0
"612";0,0108150408017501
"613";0
"614";0
"615";0
"616";0
"617";0
"618";0
"619";0
"620";0
"621";0
"622";0
"623";0
"624";0
"625";0
"626";0
"627";0
"628";0
"629";0
"630";0
"631";0,0200114785240164
"632";0
"633";0
"634";0
"635";0
"636";0
"637";0,85599329708787
"638";0
"639";0
"640";0
"641";0
"642";0
"643";0
"644";0
"645";0
"646";0
"647";83,8810699306482
"648";0
"649";0
"650";0
"651";0
"652";0
"653";0
"654";0
"655";0
"656";0,249318515876107
"657";0
"658";0
"659";0
"660";0
"661";0
"662";0
"663";0
"664";0
"665";0
"666";0
"667";0
"668";0
"669";0
"670";0
"671";0
"672";0
"673";0
"674";0
"675";0
"676";0
"677";0
"678";0
"679";0
"680";0
"681";9,31625287789939e-06
"682";0
"683";0,0368320808949116
"684";0
"685";0
"686";0
"687";0
"688";0
"689";0
"690";0
"691";0
"692";0
"693";0
"694";0
"695";0
"696";0
"697";0
"698";0
"699";0
"700";0
"701";0
"702";0
"703";0
"704";0
"705";0
"706";0
"707";0
"708";0
"709";0
"710";0
"711";0
"712";0
"713";0
"714";0
"715";0
"716";0
"717";0
"718";0,0322447745891057
"719";0
"720";0
"721";0
"722";0
"723";0
"724";0
"725";0
"726";0
"727";0
"728";0
"729";0
"730";0
"731";0
"732";0
"733";0
"734";0
"735";0
"736";0
"737";0
"738";0
"739";0
"740";0
"741";0
"742";0
"743";0
"744";0,454454886055268
"745";0
"746";0
"747";0
"748";0
"749";0
"750";0
"751";0
"752";0
"753";0
"754";0
"755";0
"756";0
"757";0
"758";0
"759";0
"760";0
"761";0
"762";0
"763";0,0378201498260977
"764";0
"765";0
"766";0
"767";0
"768";0,0181880477632857
"769";0
"770";0
"771";0
"772";0
"773";0
"774";0
"775";0
"776";0
"777";0
"778";0
"779";0
"780";0
"781";0,92008022494921
"782";3,45384634093401
"783";0,00148382456510993
"784";3327,04588109301
"785";0
"786";16,2502588365758
"787";4,72483284517372
"788";0
"789";0,0127650890683008
"790";0
"791";0
"792";0
"793";0
"794";0
"795";0
"796";0
"797";52,710127908087
"798";0
"799";24,8766630083317
"800";0
"801";0,0313796281734278
"802";8583,04233162603
"803";0
"804";0,505465078825327
"805";0
"806";0
"807";0
"808";0
"809";0
"810";24,6282506331527
"811";0
"812";2955,55372860837
"813";182,276695207828
"814";198,49174656503
"815";19,3566436880885
"816";63,4944872180349
"817";0
"818";0
"819";0
"820";777,38402905369
"821";0
"822";0
"823";113,215136060391
"824";1078,18561315443
"825";0
"826";0,0596803629163003
"827";2253,85689031035
"828";0
"829";0,0496431184844897
"830";0
"831";0
"832";30,3219293778589
"833";0
"834";0
"835";0
"836";0
"837";0
"838";0
"839";0
"840";0
"841";-6,69421300287979e-06
"842";0
"843";0
"844";0
"845";0
"846";0
"847";3546,53417380719
"848";3,18976497414244
"849";11,7404762155223
"850";0,101105875120887
"851";0,854008505091012
"852";0
"853";0
"854";0
"855";0,369825176085896
"856";0
"857";0
"858";3,23971420413166
"859";0
"860";0
"861";45,1712551596517
"862";0
"863";0
"864";0
"865";0
"866";0
"867";0
"868";0
"869";0
"870";0
"871";3428,87965924721
"872";2,49337639748202
"873";13,2433123018128
"874";0,684118829194395
"875";0
"876";0
"877";0
"878";0
"879";0
"880";0
"881";0
"882";0
"883";0
"884";0
"885";0
"886";0
"887";0
"888";0
"889";0
"890";0
"891";0,585239029854217
"892";165,484982644382
"893";473,728482248779
"894";0
"895";5936,68012766052
"896";0,861482144115629
"897";0
"898";534,417026682921
"899";161,079483459635
"900";1,20129444239449
"901";23,9857876814075
"902";0
"903";0
"904";11,1887660974364
"905";4333,28499904207
"906";0
"907";3058,56362096894
"908";0
"909";0
"910";0
"911";893,805796554538
"912";1,36575838947593
"913";65,1279044598627
"914";595,782846352358
"915";207,312773000763
"916";1,75934987061209
"917";0,224438761044408
"918";0
"919";0,019316754117544
"920";1,83742291940409
"921";0
"922";0
"923";0
"924";0
"925";0
"926";0
"927";5,12003223835887
"928";5,54566557625866
"929";8,74022384455382
"930";5700,48000386783
"931";7,96743407550524
"932";86,6624082480781
"933";0
"934";767,297021916725
"935";0
"936";0,0457352401504995
"937";0
"938";0
"939";0
"940";4,02244515631262
"941";0,042478624732382
"942";1068,9023339992
"943";52,3754803793891
"944";16,615869018861
"945";6,54035796944792
"946";0
"947";0
"948";55,3194951102797
"949";0
"950";182,336236660525
"951";1,63749340416646
"952";0,0364142949391782
"953";307,82774958053
"954";427,919891318647
"955";1,83244633280311
"956";0,0699760612473747
"957";0,310436720121101
"958";0
"959";0,590079735249294
"960";0
"961";0
"962";52,1797020458294
"963";0
"964";0
"965";0
"966";0
"967";0
"968";0
"969";0
"970";0
"971";-6,7962669939105e-09
"972";0
"973";0
"974";0
"975";0
"976";0
"977";12,9024275576622
"978";3,30839732551184
"979";4,76463782133719
"980";0,116036106562014
"981";196,532944037805
"982";204,023319767378
"983";0
"984";0
"985";0
"986";0,0556701174378959
"987";0,0140491011186468
"988";0,794436105224573
"989";0
"990";0
"991";0,527134745746199
"992";0
"993";0
"994";0
"995";0
"996";0
"997";0
