"";"x"
"1";0
"2";1,3889765613859e-05
"3";0
"4";0
"5";0
"6";0
"7";0
"8";0
"9";6,75897390303137e-06
"10";0
"11";0
"12";0
"13";0
"14";0
"15";0
"16";0
"17";0
"18";0
"19";0
"20";0,000220829523298262
"21";0
"22";4,33499300022184e-08
"23";0
"24";0
"25";0
"26";0
"27";0
"28";0
"29";0
"30";0
"31";0
"32";0
"33";0,000443577186200097
"34";0,000428075776607489
"35";0
"36";0,00018220854816842
"37";0
"38";0
"39";0
"40";0,00593416104227966
"41";4,556617193766e-07
"42";0
"43";0,00211913959372773
"44";0,00386755168494203
"45";0
"46";0
"47";0
"48";0
"49";5,56450636157215e-08
"50";0
"51";0
"52";2,37513128839824e-07
"53";0
"54";0
"55";0
"56";0
"57";0
"58";0
"59";0
"60";0
"61";0
"62";0
"63";0
"64";0
"65";0
"66";0
"67";7,72759581390563e-05
"68";0
"69";0
"70";0
"71";1,03637551160926e-05
"72";0
"73";0
"74";0
"75";0
"76";0
"77";0
"78";0
"79";0
"80";0
"81";0
"82";0
"83";0
"84";0
"85";0
"86";0
"87";0
"88";0
"89";0
"90";0
"91";2,21171746631299e-05
"92";0,000226049088448279
"93";0,000282692823562851
"94";0,00220356855813767
"95";0
"96";0
"97";0
"98";0
"99";0
"100";0
"101";0
"102";0
"103";0
"104";0
"105";0
"106";0
"107";0
"108";0
"109";0
"110";0
"111";0,00261945230847907
"112";1,64174962791722e-05
"113";0
"114";0
"115";0
"116";0
"117";1,38316797008502e-05
"118";2,64099277184731e-06
"119";0
"120";0
"121";0
"122";0
"123";0
"124";0
"125";0
"126";0
"127";0,00369772069803102
"128";0
"129";0
"130";0
"131";0
"132";0
"133";0
"134";0
"135";0
"136";0
"137";0
"138";0
"139";0
"140";0,00823523708672923
"141";0
"142";0
"143";0
"144";0
"145";0
"146";0
"147";1,80350343349735e-05
"148";2,9691663634447e-05
"149";6,52706543650849e-06
"150";0,0114911712705695
"151";0
"152";0
"153";0
"154";0
"155";0
"156";0
"157";0
"158";0
"159";0
"160";0
"161";0
"162";0
"163";0,00741784376567658
"164";0
